"","variable_id","ENTREZID"
"662","transcriptome_BTBD18","643376"
"663","transcriptome_BTBD19","149478"
"664","transcriptome_BTBD2","55643"
"665","transcriptome_BTBD6","90135"
"666","transcriptome_BTBD7","55727"
"667","transcriptome_BTBD9","114781"
"668","transcriptome_BTD","686"
"669","transcriptome_BTG2","7832"
"670","transcriptome_BTG3","10950"
"671","transcriptome_BTLA","151888"
"672","transcriptome_BTN1A1","696"
"673","transcriptome_BTN2A1","11120"
"674","transcriptome_BTN3A1","11119"
"675","transcriptome_BTN3A2","11118"
"676","transcriptome_BTN3A3","10384"
"677","transcriptome_BTNL2","56244"
"678","transcriptome_BTRC","8945"
"679","transcriptome_BUD31","8896"
"680","transcriptome_BYSL","705"
"681","transcriptome_BZW1","9689"
"682","transcriptome_C10orf105","414152"
"683","transcriptome_C10orf95","79946"
"684","transcriptome_C11orf16","56673"
"685","transcriptome_C11orf42","160298"
"686","transcriptome_C11orf54","28970"
"687","transcriptome_C11orf58","10944"
"688","transcriptome_C11orf71","54494"
"689","transcriptome_C11orf80","79703"
"690","transcriptome_C12orf29","91298"
"691","transcriptome_C12orf57","113246"
"692","transcriptome_C12orf71","728858"
"693","transcriptome_C12orf76","400073"
"694","transcriptome_C15orf39","56905"
"695","transcriptome_C15orf40","123207"
"696","transcriptome_C15orf61","145853"
"697","transcriptome_C15orf62","643338"
"698","transcriptome_C16orf54","283897"
"699","transcriptome_C16orf72","29035"
"700","transcriptome_C16orf86","388284"
"701","transcriptome_C16orf96","342346"
"702","transcriptome_C17orf100","388327"
"703","transcriptome_C17orf107","100130311"
"704","transcriptome_C17orf67","339210"
"705","transcriptome_C17orf78","284099"
"706","transcriptome_C17orf80","55028"
"707","transcriptome_C17orf97","400566"
"708","transcriptome_C18orf25","147339"
"709","transcriptome_C19orf12","83636"
"710","transcriptome_C19orf44","84167"
"711","transcriptome_C19orf67","646457"
"712","transcriptome_C19orf73","55150"
"713","transcriptome_C1GALT1","56913"
"714","transcriptome_C1QBP","708"
"715","transcriptome_C1QL3","389941"
"716","transcriptome_C1QTNF6","114904"
"717","transcriptome_C1QTNF7","114905"
"718","transcriptome_C1RL","51279"
"719","transcriptome_C1orf100","200159"
"720","transcriptome_C1orf105","92346"
"721","transcriptome_C1orf112","55732"
"722","transcriptome_C1orf122","127687"
"723","transcriptome_C1orf146","388649"
"724","transcriptome_C1orf167","284498"
"725","transcriptome_C1orf198","84886"
"726","transcriptome_C1orf21","81563"
"727","transcriptome_C1orf43","25912"
"728","transcriptome_C1orf56","54964"
"729","transcriptome_C1orf74","148304"
"730","transcriptome_C2","717"
"731","transcriptome_C20orf144","128864"
"732","transcriptome_C20orf173","140873"
"733","transcriptome_C20orf27","54976"
"734","transcriptome_C21orf140","101928147"
"735","transcriptome_C21orf58","54058"
"736","transcriptome_C21orf62","56245"
"737","transcriptome_C22orf15","150248"
